classification,commenttext
REQUIREMENT,fixme formatters threadsafe
REQUIREMENT,xxx jon skeet comment hasnt done already may strictly true wrappermaybeconfigure wont configure attributestext may well add children unless ive missed something
REQUIREMENT,hate admit dont know happened throw exception
REQUIREMENT,note starteam status new implies item local machine repository items show view starteam gui one would think would want perhaps checkin new items cases! steve cohen dec unfortunately sdk doesnt really work cant actually see anything status new check everything without worrying losing anything
REQUIREMENT,generated classes must added generic jar! buggy old jonas ??
REQUIREMENT,todo comment still relevant ?? fixme need use saxsource source transform plug entity resolver
REQUIREMENT,turned temporarily appears bug selectorutilsmatchpattern recursive windows even pattern assertequalsffftffffffff results unix vs assertequalsffftfffftfff results windows
REQUIREMENT,pattern holds string exhausted generate false positives live
REQUIREMENT,fixme namespace empty namespace really ok?
REQUIREMENT,fixme actually cpu cycles friendly converting dos java underlying sun implementation convert java dos time internal storage
REQUIREMENT,check first already loaded otherwise consecutive runs seems end outofmemoryerror fails native library load several times far perfect work cases
REQUIREMENT,todo warning line shows code contains variable error cause trouble parser definitely much better
REQUIREMENT,todo comment still relevant ?? fixme need use saxsource source transform plug entity resolver
DESIGN,xxx really dont like xml processor still involved processing better solution imo would create ue project target process tree projecttarget deal attributes similar description eventually switch add support dom things work smoothly ue avoided almost completely could still created demand backward compatibility
DESIGN,junit wraps solo tests way extract original test name little hack
DESIGN,xxx ignore attributes different ns maybe store ?
DESIGN,borrowed tokenfiltertest
DESIGN,xxx move project shared helpers
DESIGN,property supposed be?
DESIGN,pr hack anttype value anttype component name namespaced need extract name convert qualified name uriname
DESIGN,theres convenient xsltc class version data private use package information
DESIGN,stolen orgapachexercesimplxmlentitymanagergetuserdir xercesj team ascii characters need escaped
DESIGN,bingo append normally done
DESIGN,faintly ridiculous
DESIGN,cannot remove underscores due protected visibility
DESIGN,todo read yet public setter
DESIGN,pr know object class multiple defines logging
DESIGN,sure could need
DESIGN,xxx jon skeet reason writing message using bare runtimeexception rather using buildexception here? case message could end written loggers loggers could failed created due failure?
DESIGN,experimentaltesting removed
DESIGN,xxx instead make new protectiondomain codesource corresponding containertouritourl permissioncollection projectclassprotectiondomain
DESIGN,really irritating need way set stuff
DESIGN,xxx convert source destination directory according weblogic standards written better hacky!
DESIGN,silly hack avoid stack overflow
DESIGN,access property tables used support ant call similar tasks deprecated possible use better efficient mechanism preserve context
DESIGN,xxx throw exception instead?
DESIGN,temporary figure better api
DESIGN,better way save context shouldnt delegate next backward compatibility
DESIGN,quick fix antjava use property initializing project
